id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
224,1900,2003-12-04,DEVELOPMENT OF NORTH EASTERN REGION,Irrigation schemes under North East Council (NEC),,200/25,SQ 50,
225,1900,2003-07-31,COMMUNICATIONS & INFORMATION TECHNOLOGY,Distribution of mobile phones in NER,,199/74,USQ 1208,
226,2351,2022-03-29,HEALTH AND FAMILY WELFARE,Shortage of Administrative staff to handle disease outbreaks,,256/271,SQ 274,
227,2351,2017-07-21,RAILWAYS,approval for the project to increase the speed of Trains,,243/136,SQ 63,Ritabrata Banerjee
228,2351,2017-08-10,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Multi Skill Training Institutes,,243/128,USQ 2835,
229,2351,2016-11-22,FINANCE,Steps taken by SBI against cyber frauds,,241/194,USQ 710,
230,2351,2016-12-14,CULTURE,New Monuments for maintenance and restoration under ASI,,241/173,USQ 3079,
231,2351,2025-07-23,ROAD TRANSPORT AND HIGHWAYS,PM GATI SHAKTI,,268/55,USQ 428,
232,2351,2025-08-18,Housing and Urban Affairs,OBJECTIVES OF URBAN CHALLENGE FUND,,268/15,USQ 2785,
233,2351,2024-07-22,Housing and Urban Affairs,Data on Progress of SCM,,265/68,USQ 64,
234,2351,2021-07-28,CIVIL AVIATION,Cancellation of flights due to Corona Virus pandemic,,254/40,USQ 972,K.C.Venugopal
235,2351,2018-12-28,LAW  AND JUSTICE,Allowing access to foreign law firms,,247/97,USQ 1873,
236,2351,2017-12-27,TOURISM,Development of five exclusive tourism zones under PPP mode,,244/52,USQ 1109,
237,2351,2017-07-28,TEXTILES,Bailing out knitwear sector from Financial stress,,243/71,USQ 1596,A. K. Selvaraj
238,2351,2017-07-27,HUMAN RESOURCE DEVELOPMENT,Inter-university Centre for Yoga Sciences,,243/62,USQ 1342,
239,2351,2017-07-21,CHEMICALS AND FERTILIZERS,Import of Urea,,243/39,USQ 693,
240,2352,2022-03-25,RAILWAYS,Fraudulent inspection of Railway Tracks,,256/216,SQ 241,
241,2352,2022-03-25,RAILWAYS,Fraudulent inspection of Railway tracks,,256/215,SQ 241,
242,2352,2022-03-25,RAILWAYS,Fraudulent inspection of Railway tracks,,256/214,SQ 241,
243,2352,2022-03-23,Education,"Reservation in admission in BHU, Varanasi",,256/204,USQ 2257,"Chhaya Verma, Ram Nath Thakur, Vishambhar Prasad Nishad"
244,2352,2020-03-20,COMMERCE AND INDUSTRY,Revelation in Annual Report of Export promotion council,,251/119,USQ 3115,"Chhaya Verma, Vishambhar Prasad Nishad"
245,2352,2019-07-24,PETROLEUM AND NATURAL GAS,Application for retail outlets,,249/164,USQ 3615,"Chhaya Verma, Vishambhar Prasad Nishad"
246,2352,2017-04-10,"Environment, Forests  & Climate Change",Impact of vehicular pollution on air quality in Delhi,,242/271,SQ 395,
247,2352,2017-03-20,POWER,Expenditure by Power companies,,242/160,USQ 2000,
248,2352,2016-12-02,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Misleading advertisement by famous personalities,,241/103,USQ 1991,Vishambhar Prasad Nishad
249,2352,2022-02-04,RAILWAYS,Bikaner express train accident,,256/78,USQ 439,"Chhaya Verma, Ram Nath Thakur, Vishambhar Prasad Nishad"
250,2352,2022-02-04,AGRICULTURE AND FARMERS WELFARE,Legal guarantee of MSP,,256/18,SQ 32,
251,2352,2022-02-04,AGRICULTURE AND FARMERS WELFARE,Legal Guarantee of MSP,,256/17,SQ 32,
252,2352,2022-02-03,LAW  AND JUSTICE,Comments of the Ministry on old pension scheme,,256/16,USQ 276,"Chhaya Verma, Vishambhar Prasad Nishad"
253,2352,2021-08-02,DEFENCE,Amendment in Cantonment Act,,254/59,USQ 1466,Vishambhar Prasad Nishad
254,2352,2020-03-13,RAILWAYS,Profit making trains,,251/94,USQ 2372,"Chhaya Verma, SampatiyaUikey, Vishambhar Prasad Nishad"
255,2352,2020-03-06,AGRICULTURE AND FARMERS WELFARE,,,251/64,USQ 1801,Vishambhar Prasad Nishad
256,2352,2019-11-22,RAILWAYS,Outsourcing of Employees in Railways,,250/32,SQ 70,
257,2352,2019-02-12,FINANCE,Fraudulent withdrawal from banks by cyber criminals,,248/48,SQ 97,
258,2352,2017-12-22,RAILWAYS,Vacancies in Railways,,244/47,USQ 954,"Chhaya Verma, Vishambhar Prasad Nishad"
259,2352,2017-08-02,HOME AFFAIRS,Security lapses noticed in attack on Amarnath pilgrims,,243/93,USQ 1976,"Chhaya Verma, Vishambhar Prasad Nishad"
260,2352,2019-11-19,FINANCE,,,250/6,USQ 232,
261,1901,2008-03-17,HUMAN RESOURCE DEVELOPMENT,establishment of an IIT at Hassan,,213/311,USQ 1715,
262,1901,2007-12-05,HOME AFFAIRS,criteria for conferring `classical language` status,,212/268,SQ 282,
263,1901,2007-11-20,CIVIL AVIATION,Mangalore International Airport,,212/219,SQ 78,
264,1901,2007-12-04,FINANCE,banking transaction of PSUs,,212/163,USQ 1544,
265,1901,2007-08-16,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",assistance for minor ports,,211/134,USQ 559,
266,1901,2007-05-03,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Substandard Maritime Institutes,,210/412,USQ 3135,
267,1901,2007-03-12,LAW  AND JUSTICE,Pending court cases,,210/118,USQ 1402,
268,1901,2007-03-12,HUMAN RESOURCE DEVELOPMENT,Assessment and accreditation by NAAC,,210/115,USQ 1377,
269,1901,2007-03-09,AGRICULTURE,Contribution  to GDP,,210/103,USQ 1186,
270,1901,2006-12-19,CIVIL AVIATION,Opening of Karwar Airport for civilian air services,,209/274,USQ 2884,
271,1901,2006-12-11,HUMAN RESOURCE DEVELOPMENT,Cut-off date for admission in undergraduate courses,,209/188,USQ 2008,
272,1901,2006-12-11,HUMAN RESOURCE DEVELOPMENT,Professional institutes providing higher education,,209/184,SQ 280,PRAVEEN RASHTRAPAL
273,1901,2006-12-05,FINANCE AND COMPANY AFFAIRS,NPAs of Nationalised Banks,,209/176,USQ 1424,
274,1901,2006-07-26,DEFENCE,Recruitment of ladies,,208/255,USQ 198,
275,1901,2006-07-24,HUMAN RESOURCE DEVELOPMENT,Differential fee structure in professional courses,,208/252,USQ 12,
276,1901,2006-08-18,ENVIRONMENT AND FORESTS,I.T. Companies negleeting health and environment names,,208/248,USQ 2328,
277,1901,2006-08-17,COMMUNICATIONS & INFORMATION TECHNOLOGY,Mobile number portability facility,,208/170,USQ 2124,
278,1901,2006-05-23,PETROLEUM AND NATURAL GAS,Consumption of petroleum products,,207/398,USQ 4056,
279,1901,2006-05-11,HEALTH AND FAMILY WELFARE,Parallel health insurance scheme,,207/260,USQ 2792,
280,1901,2006-02-20,SMALL SCALE INDUSTRIES,Package for upliftment of SSI,,207/217,USQ 172,
281,1901,2006-03-02,URBAN DEVELOPMENT,Migrants to cities,,207/107,USQ 1143,
282,1901,2005-12-06,FINANCE AND COMPANY AFFAIRS,Closure of cooperative banks,,206/131,USQ 1395,
283,1901,2005-12-05,HUMAN RESOURCE DEVELOPMENT,Admission to professional courses,,206/121,USQ 1266,
284,1901,2005-08-25,SMALL SCALE INDUSTRIES,Assistnace sought by Karnataka,,205/322,SQ 424,
285,1901,2005-08-16,CIVIL AVIATION,Upgradation of Airports in Karnataka,,205/236,USQ 2206,
286,1901,2005-08-12,ENVIRONMENT AND FORESTS,Major rivers choked with industrial effluents,,205/215,SQ 284,
287,1901,2005-08-05,ENVIRONMENT AND FORESTS,"Amendment  of Indian Forest Act, 1927",,205/134,SQ 181,
288,1901,2005-04-28,COMMUNICATIONS & INFORMATION TECHNOLOGY,Financial assistance to Karnataka,,204/419,SQ 485,
289,1901,2005-04-27,COMMERCE AND INDUSTRY,Acquisition of Indian corporate sector by overseas entities,,204/413,USQ 3571,
290,1901,2005-04-27,HOME AFFAIRS,Cases of violence against girl-child,,204/404,SQ 461,
291,1901,2005-04-26,FINANCE AND COMPANY AFFAIRS,JBIC`s aid for slum improvement in Karnataka,,204/390,USQ 3466,
292,1901,2005-04-20,TEXTILES,Deendayal Hathkargha Protsahan Yojana,,204/335,USQ 3088,
293,1901,2005-04-20,COMMERCE AND INDUSTRY,Product specific economic zone for I.T. industries in Mangalore,,204/327,USQ 2954,
294,1901,2005-03-17,OVERSEAS INDIAN AFFAIRS,Foreign direct investments from NRIs,,204/128,SQ 228,
295,1901,2004-12-07,FINANCE AND COMPANY AFFAIRS,Frauds in NSCs,,203/286,USQ 599,
296,1901,2004-12-21,FINANCE AND COMPANY AFFAIRS,Exemption to religious institutions,,203/252,USQ 1980,
297,1901,2004-12-21,CIVIL AVIATION,Development of non-metro airports,,203/229,USQ 1912,
298,1901,2004-12-13,HUMAN RESOURCE DEVELOPMENT,REVIEW OF EDUCATION POLICY,,203/198,USQ 1057,
299,1901,2004-12-17,STEEL,Wage revision of KIOCL,,203/152,USQ 1744,
300,1901,2004-12-14,CIVIL AVIATION,Recovery of dues from airlines,,203/103,USQ 1170,
301,1901,2004-08-23,SOCIAL JUSTICE AND EMPOWERMENT,Financial assistance for Pre and Post matric students,,202/190,USQ 2061,
302,1901,2004-08-23,INFORMATION AND BROADCASTING,Fee hike by cable operators,,202/185,USQ 2031,
303,1901,2004-08-20,ENVIRONMENT AND FORESTS,Adherence to safe ship breaking norms,,202/169,USQ 1828,
304,1901,2003-12-16,WATER RESOURCES,Flood projection programme,,200/131,USQ 1524,
305,1901,2003-08-18,HEALTH AND FAMILY WELFARE,Population growth,,199/172,USQ 2754,
306,1901,2003-05-06,FINANCE AND COMPANY AFFAIRS,Import of refined edible oil as crude oil,,198/497,USQ 4689,
307,1901,2003-05-05,INFORMATION AND BROADCASTING,Proposal to revamp AIR and DD,,198/485,USQ 4583,
308,1901,2003-04-30,POWER,Floating of equity by NTPC,,198/446,SQ 562,
309,1901,2003-03-10,COMMERCE AND INDUSTRY,Meeting of State Governments on matters of commerce and industry,,198/209,USQ 1853,
310,1901,2003-03-05,HOME AFFAIRS,Inclusion of Regional language in Eighth  Schedule of Constitution,,198/162,SQ 203,
311,1901,2003-03-05,HOME AFFAIRS,Inclusion of regional languages in the Eighth schedule of Constitution,,198/161,SQ 203,
312,1901,2002-11-25,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Waiting list for Government Accommodation in Delhi,,197/478,SQ 84,
313,1901,2002-12-20,ENVIRONMENT AND FORESTS,Eviction from forest land,,197/458,USQ 3171,
314,1901,2002-12-18,COAL AND MINES,Allotment of Captive Coal block to Karnataka,,197/426,USQ 2829,
315,1901,2002-12-12,COMMUNICATIONS & INFORMATION TECHNOLOGY,Mobile and fixed phones,,197/228,USQ 2223,
316,1901,2002-12-09,DISINVESTMENT,Sale of privatized PSUs,,197/180,USQ 1818,
317,1901,2002-07-23,PETROLEUM AND NATURAL GAS,Foreign companies in oil exploration,,196/182,USQ 699,
318,1901,2002-08-05,HEALTH AND FAMILY WELFARE,Integrated primary health care system,,196/111,USQ 1938,
319,1901,2002-05-09,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Procurmenet policy,,195/363,USQ 4558,
320,1901,2002-05-02,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Ware House,,195/294,SQ 523,
321,1901,2000-02-26,RAILWAYS,New Rail Lines between Mysore and Mangalore and Mysore and Tellicheri,,189/351,USQ 270,
322,1901,2000-02-25,RAILWAYS,Construction of road over-bridges in Karnataka,,189/349,USQ 250,
323,1901,1999-03-01,SOCIAL JUSTICE AND EMPOWERMENT,Dave committee`s recommendations,,186/114,USQ 710,
324,1901,2013-12-06,RAILWAYS,Rail TARIFF Authority,,230/18,USQ 265,
325,1901,2008-03-10,POWER,grants in aid for Hydro electric projects,,213/53,USQ 1024,
326,1901,2008-03-04,PETROLEUM AND NATURAL GAS,ADB`s endorsement for gas pipeline project,,213/33,USQ 594,
327,1901,2007-08-10,AGRICULTURE,Revision of assistance pakage on suicides of farmers,,211/80,USQ 19,
328,1901,2007-08-20,WOMEN AND CHILD DEVELOPMENT,,,211/63,USQ 881,
329,1901,2007-03-08,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Upgradation of highways,,210/94,USQ 1137,
330,1901,2007-03-06,FINANCE,Regulation over loans provided by banks,,210/70,USQ 779,
331,1901,2007-03-05,HUMAN RESOURCE DEVELOPMENT,FDI in higher education,,210/55,SQ 87,
332,1901,2007-02-27,CIVIL AVIATION,CESS Air Travel,,210/13,USQ 141,
333,1901,2006-11-30,URBAN DEVELOPMENT,Fixing location-wise circle rates of property,,209/98,USQ 1012,
334,1901,2006-08-01,CHEMICALS AND FERTILIZERS,Petroleum and petrochemical investment regions,,208/45,SQ 121,
335,1901,2006-02-21,FINANCE AND COMPANY AFFAIRS,Lower interest rate on Loans to Farmers,,207/24,SQ 46,
336,1901,2005-12-01,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Norms for National Highways Construction,,206/98,USQ 1012,
337,1901,2005-12-01,COMMUNICATIONS & INFORMATION TECHNOLOGY,Transformation in MTNL/BSNL,,206/87,USQ 907,
338,1901,2005-11-28,HUMAN RESOURCE DEVELOPMENT,Grant for higher education and scientific research,,206/56,USQ 496,
339,1901,2005-07-29,ENVIRONMENT AND FORESTS,Rehabilitation of displaced families,,205/66,USQ 551,
340,1901,2005-07-28,COMMUNICATIONS & INFORMATION TECHNOLOGY,Investment in Telecom sector,,205/49,USQ 372,
341,1901,2005-07-27,TEXTILES,Jobs in textile sector,,205/38,SQ 328,
342,1901,2005-07-25,URBAN EMPLOYMENT AND POVERTY ALLEVIATION,Homeless people in Metropolitan cities,,205/17,USQ 96,
343,1901,2005-03-14,HUMAN RESOURCE DEVELOPMENT,Lack of infrastrucutre and facilities in professional colleges,,204/90,USQ 1287,
344,1901,2004-12-07,COMMUNICATIONS & INFORMATION TECHNOLOGY,Frauds in NSCs,,203/45,USQ 517,
345,1901,2004-12-03,HEALTH AND FAMILY WELFARE,Allocation to hospitals for procuring critical medical equipments,,203/17,USQ 255,
346,1901,2003-12-12,AGRICULTURE,Special drought relief,,200/97,USQ 1104,
347,1901,2003-12-11,LABOUR AND EMPLOYMENT,Exemption to Karnataka handloom development corporation from EPF/PF Act.,,200/94,USQ 1060,
348,1901,2003-07-25,HUMAN RESOURCE DEVELOPMENT,Establishment of institutes for quality teaching,,199/41,USQ 610,
349,1901,2003-02-25,CIVIL AVIATION,amendments in AAI ACT-1994,,198/72,USQ 632,
350,1901,2002-11-26,TOURISM AND CULTURE,Construction of `Mahadwara` to `Mangladevi Temple` in Karnataka,,197/77,USQ 725,
351,1901,2002-11-25,LAW  AND JUSTICE,Realisation of revenue locked up in litigations,,197/62,USQ 557,
352,1901,2002-11-25,HEALTH AND FAMILY WELFARE,Non-availability of medicines in CGHS dispensaries,,197/57,USQ 506,
353,1901,2002-07-30,FINANCE AND COMPANY AFFAIRS,Recovery of loan from medium scale industries,,196/79,USQ 1390,
354,1901,2002-07-23,FINANCE AND COMPANY AFFAIRS,Sharing of service tax with State-Governments,,196/37,USQ 647,
355,1901,2000-03-01,POWER,Transfer of fuel linkage to M/s Bidadi Power Project,,189/34,USQ 733,
356,1901,1999-12-10,HUMAN RESOURCE DEVELOPMENT,Reservation for women in professional courses,,188/54,USQ 1048,
357,1901,1999-04-16,HUMAN RESOURCE DEVELOPMENT,Shortage of staff of NCW,,186/69,USQ 2906,
358,1901,1998-12-16,HOME AFFAIRS,Use of Bullet proof jackets by criminals.,,185/74,SQ 260,
359,1901,1998-07-06,SOCIAL JUSTICE AND EMPOWERMENT,Enacting law to help mentally ill women.,,184/70,USQ 2224,
360,1901,1998-07-03,HUMAN RESOURCE DEVELOPMENT,Change in the UGC Act,,184/36,USQ 2084,
361,1901,1998-06-03,DEFENCE,Ajit Kumar Committee Report,,184/19,USQ 744,
362,1901,1997-07-28,POWER,Approval for  REC electrification in Bihar,,181/43,USQ 554,
363,1901,2006-11-22,DEFENCE,Discrimination in compensation to soldiers,,209/3,USQ 38,
364,1901,2000-02-25,ENVIRONMENT AND FORESTS,ENVIRONMENTAL CLEARANCE TO UPPER KRISHNA PROJECT,,189/2,SQ 21,
365,1901,1998-06-05,HEALTH AND FAMILY WELFARE,Finalisation of national blood policy,,183/5,USQ 1100,
366,87,2002-08-02,HUMAN RESOURCE DEVELOPMENT,Restructuring the fees for higher education,,196/108,USQ 1863,C.P. THIRUNAVUKKARASU
367,1902,2009-07-22,LABOUR AND EMPLOYMENT,employment growth,,217/296,SQ 267,
368,1902,2005-08-04,COMMUNICATIONS & INFORMATION TECHNOLOGY,MMS Clips,,205/339,SQ 170,
369,1902,2003-07-29,CIVIL AVIATION,Modernisation of Airports,,199/226,SQ 123,
370,1902,2003-04-25,COMMUNICATIONS & INFORMATION TECHNOLOGY,Discussion on the working of the Ministry of Communications and Information Technology.,,198/595,,
371,1902,2002-12-09,COMMERCE AND INDUSTRY,Progress of Greenfield SEZ projects,,197/176,SQ 270,
372,1902,2002-08-02,AGRICULTURE,Making ariculture economically viable,,196/103,USQ 1781,
373,1902,1990-03-13,DEFENCE,Revelations regarding submarine deal  in a book,,153/11,USQ 27,PRAMOD MAHAJAN
374,1902,1989-02-28,DEFENCE,CBI investigation in Bofors Gun Deal,,149/1,USQ 761,LAL K.ADVANI
375,88,2001-12-18,FINANCE AND COMPANY AFFAIRS,Siphoning off funds by Essar Group,,194/311,USQ 2983,
376,88,2001-07-30,LAW  AND JUSTICE,Additional judicial benches of High Courts,,193/295,USQ 861,
377,88,2001-08-13,HEALTH AND FAMILY WELFARE,Residential telephones to CHS Officers,,193/121,USQ 2289,
378,88,2001-03-19,INFORMATION AND BROADCASTING,Corruption in Doordarshan,,192/149,USQ 2420,
379,88,2001-03-16,RAILWAYS,Compassionate appointments in Railways,,192/144,USQ 2368,
380,88,2000-12-20,RURAL DEVELOPMENT,Land Reforms in Chhattisgarh,,191/305,SQ 450,
381,88,2000-12-18,COMMERCE AND INDUSTRY,Termination of services of Executive Director and other employees in STC,,191/241,USQ 3004,
382,88,2000-12-15,CHEMICALS AND FERTILIZERS,Poor performance of fertilizers companies,,191/228,SQ 381,
383,88,2000-08-07,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Fire in the premises of zee telefilms Ltd.,,190/103,USQ 1682,
384,88,2000-03-16,STATISTICS AND PROGRAMME IMPLEMENTATION,Placement of EDP Staff,,189/374,USQ 2443,BRAHMAKUMAR BHATT
385,88,2000-04-27,PETROLEUM AND NATURAL GAS,Regularisation of contract employees in EIL,,189/212,USQ 3610,
386,88,2000-04-26,RURAL DEVELOPMENT,One Family-one employment plan for States,,189/202,USQ 3500,
387,88,2001-02-23,HEALTH AND FAMILY WELFARE,Investigations against CGHS Doctors of ISM&H,,192/10,USQ 280,
388,88,2000-11-28,CHEMICALS AND FERTILIZERS,Subsidy on Urea production,,191/74,USQ 875,
389,88,2000-11-27,INFORMATION AND BROADCASTING,Fall in the income of Doordarshan,,191/61,USQ 753,
390,88,2000-11-22,COAL,Demand for increasing the royalty on lignite.,,191/44,USQ 240,
391,88,1998-12-09,RURAL DEVELOPMENT,Irregularities in Indira Awas Yojana,,185/51,USQ 1215,
392,88,1997-11-27,LABOUR AND EMPLOYMENT,Supreme court judgement on contract labour,,182/26,SQ 121,
393,88,1995-08-25,SOCIAL JUSTICE AND EMPOWERMENT,Funds allocated to NBCFDC.,,174/11,SQ 322,
394,88,2001-07-23,LAW  AND JUSTICE,Setting up of special courts to handle corporate litigations,,193/6,USQ 109,
395,88,1995-12-21,HEALTH AND FAMILY WELFARE,World bank assistance for health care in Rural and Tribal areas,,175/1,USQ 2527,
396,88,1995-04-25,FINANCE AND COMPANY AFFAIRS,Loans to farmers,,173/8,USQ 3346,
397,88,1994-12-09,WATER RESOURCES,Special schemes for flood control,,172/8,USQ 641,
398,2353,2018-07-26,Education,Shortage of Teachers.,,246/128,USQ 95,
399,2353,2016-12-07,HOME AFFAIRS,Waterless urinals in Delhi,,241/133,USQ 2461,
400,2353,2019-07-04,Communications,Unavailability of 4G Services in MTNL,,249/78,USQ 1422,
401,2353,2017-03-14,DEFENCE,Policy for extending assistance to families,,242/96,USQ 1321,
402,2353,2016-11-28,RURAL DEVELOPMENT,Digitization of land records in Uttar Pradesh under NLRMP,,241/69,USQ 1413,
403,2353,2016-11-21,DRINKING WATER AND SANITATION,Supply of piped drinking water in Vindhyanchal,,241/27,USQ 500,
404,2353,2019-06-21,"Fisheries, Animal Husbandry and Dairying",Promotion of Dairy & Fishery Sector,,249/1,SQ 4,
405,89,2000-04-24,STEEL,Misuse of Aircraft owned by SAIL,,189/377,SQ 402,
406,89,2000-05-10,HOME AFFAIRS,Ban on Lottery,,189/364,USQ 4754,
407,89,2000-05-02,LAW  AND JUSTICE,Conversion of Co-operative bodies into Banks,,189/361,USQ 3920,
408,89,2000-04-24,URBAN DEVELOPMENT,Taking over of Kalkaji Temple,,189/354,USQ 3201,
409,89,2000-04-17,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,"Revival of Heavy Engineering Corporation,Ranchi",,189/135,SQ 328,
410,89,2000-02-29,CIVIL AVIATION,Involvement of air travel agents in Hijacking,,189/15,USQ 448,
411,89,1999-02-26,HUMAN RESOURCE DEVELOPMENT,Scheme to promote primary education,,186/61,USQ 555,
412,1468,2013-04-22,LAW  AND JUSTICE,Ban on contesting elections after quitting Government jobs,,228/227,USQ 3022,
413,1468,2013-03-14,ROAD TRANSPORT AND HIGHWAYS,Trafic Jam on National Highway-58 near Modinagar,,228/137,USQ 1967,
414,1468,2013-03-12,PETROLEUM AND NATURAL GAS,Supply of Gas to IFFCO and Indo-Gulf Fertilizers,,228/116,USQ 1686,
415,1468,2013-03-11,LAW  AND JUSTICE,Chalans with fake signatures,,228/101,USQ 1469,
416,1468,2012-09-05,URBAN DEVELOPMENT,Allotment of plots under Rohini scheme,,226/229,USQ 2769,
417,1468,2011-12-09,COMMUNICATIONS & INFORMATION TECHNOLOGY,Conversion of post offices into banks,,224/340,USQ 1919,
418,1468,2011-12-21,HOME AFFAIRS,Cases registered against Delhi Police personnel,,224/207,USQ 3190,
419,1468,2011-03-16,DEFENCE,Issue  of NOC for construction of Adarsh Housing Society,,222/211,USQ 2223,
420,1468,2011-03-16,URBAN DEVELOPMENT,Illegal construction of religious structures on Government land  in Delhi,,222/206,USQ 2321,
421,1468,2011-03-10,EXTERNAL AFFAIRS,Indians detained in foreign jails,,222/156,USQ 1588,
422,1468,2011-03-04,HUMAN RESOURCE DEVELOPMENT,Admission in central schools under Minister's discretionary quota,,222/103,USQ 1026,
423,1468,2010-11-18,URBAN DEVELOPMENT,Transfer of employees of CPWD,,221/101,USQ 1055,
424,1468,2013-08-07,HOME AFFAIRS,Foreigners granted long term visa,,229/29,USQ 380,
425,1468,2013-08-06,HEALTH AND FAMILY WELFARE,Development of diabetic shoes by AIIMS Doctors,,229/21,USQ 265,
426,1468,2013-03-08,RAILWAYS,Electrification work on Ghaziabad-Moradabad section is in progress and planned for completion by March 2014,,228/97,USQ 1375,
427,1468,2013-03-06,DEFENCE,CBI enquiry into Vectra case,,228/69,USQ 981,
